n_classes,n_families,n_species,category,species,calls
2,2,2,cohesion,Zebra finch (Taeniopygia guttata);African savanna elephant (Loxodonta africana),tet call;rumble
2,2,2,danger,Brilliant-thighed poison frog (Allobates femoralis);Asian elephant (Elephas maximus),advertisement call;squeak
2,2,2,social,Brilliant-thighed poison frog (Allobates femoralis);Olive baboon (Papio anubis),advertisement call;wa-hoo
2,2,2,social,Brilliant-thighed poison frog (Allobates femoralis);Diana monkey (Cercopithecus diana),advertisement call;male general long-distance call
2,2,2,social,Brilliant-thighed poison frog (Allobates femoralis);Yellow-bellied marmot (Marmota flaviventris),advertisement call;whistle
2,2,2,cohesion,Green treefrog (Hyla cinerea);Campbell's monkey (Cercopithecus campbelli),advertisement call;simple harmonic contact call
2,2,2,danger,Carolina chickadee (Poecile carolinensis);Olive baboon (Papio anubis),T-slink;broken grunting
2,2,2,distress,Carolina chickadee (Poecile carolinensis);Vervet monkey (Chlorocebus pygerythrus),Scream;squeal
2,2,2,distress,American bullfrog (Lithobates catesbeianus);Chimpanzee (Pan troglodytes),distress call;scream
2,2,2,social,Tungara frog (Engystomops pustulosus);Common bottlenose dolphin (Tursiops truncatus),whine-chuck advertisement call;burst-pulsed sound
2,2,2,social,Green treefrog (Hyla cinerea);Common bottlenose dolphin (Tursiops truncatus),advertisement call;burst-pulsed sound
2,2,2,foraging,Zebra finch (Taeniopygia guttata);Common bottlenose dolphin (Tursiops truncatus),incubation call;creak
2,2,2,social,Zebra finch (Taeniopygia guttata);Egyptian fruit bat (Rousettus aegyptiacus),whine call;aggression call
2,2,2,danger,Red junglefowl (Gallus gallus);Gray wolf (Canis lupus),threat call;snarl
2,2,2,cohesion,Red junglefowl (Gallus gallus);Greater sac-winged bat (Saccopteryx bilineata),chick pleasure call;maternal directive call
2,2,2,danger,Tungara frog (Engystomops pustulosus);Japanese tit (Parus minor),whine-chuck advertisement call;jar call
2,2,2,danger,Green treefrog (Hyla cinerea);Japanese tit (Parus minor),advertisement call;jar call
2,2,2,danger,American bullfrog (Lithobates catesbeianus);Japanese tit (Parus minor),distress call;jar call
2,2,2,danger,Japanese tit (Parus minor);Common marmoset (Callithrix jacchus),jar call;tsik
2,2,2,danger,Japanese tit (Parus minor);Vervet monkey (Chlorocebus pygerythrus),ABC call;nyow
2,2,2,danger,Japanese tit (Parus minor);Meerkat (Suricata suricatta),ABC call;recruitment call
2,2,2,cohesion,Zebra finch (Taeniopygia guttata);Meerkat (Suricata suricatta),tet call;close call
2,2,2,other,Tungara frog (Engystomops pustulosus);Meerkat (Suricata suricatta),whine-chuck advertisement call;sunning call
2,2,2,other,Zebra finch (Taeniopygia guttata);Meerkat (Suricata suricatta),whine call;sunning call
2,2,2,danger,Red junglefowl (Gallus gallus);Putty-nosed monkey (Cercopithecus nictitans),ground-predator cackling alarm;hack
2,2,2,danger,American bullfrog (Lithobates catesbeianus);Red junglefowl (Gallus gallus),distress call;threat call
1,2,2,cohesion,African savanna elephant (Loxodonta africana);Chimpanzee (Pan troglodytes),rumble;hoo
1,2,2,cohesion,African savanna elephant (Loxodonta africana);Campbell's monkey (Cercopithecus campbelli),rumble;boom
1,2,2,distress,African savanna elephant (Loxodonta africana);Gelada (Theropithecus gelada),roar;wobble
1,2,2,distress,African savanna elephant (Loxodonta africana);Chimpanzee (Pan troglodytes),roar;scream
1,2,2,distress,African savanna elephant (Loxodonta africana);Yellow-bellied marmot (Marmota flaviventris),bark;pup scream
1,2,2,other,American bullfrog (Lithobates catesbeianus);Tungara frog (Engystomops pustulosus),advertisement call;whine-chuck advertisement call
1,2,2,cohesion,Asian elephant (Elephas maximus);Vervet monkey (Chlorocebus pygerythrus),growl;grunt
1,2,2,cohesion,Asian elephant (Elephas maximus);Gelada (Theropithecus gelada),croak-rumble;wobble
1,2,2,distress,Bonobo (Pan paniscus);Common marmoset (Callithrix jacchus),scream;tsik
1,2,2,cohesion,Bonobo (Pan paniscus);Common bottlenose dolphin (Tursiops truncatus),whistle;signature whistle
1,2,2,cohesion,Campbell's monkey (Cercopithecus campbelli);Yellow-bellied marmot (Marmota flaviventris),boom;tooth chatter
1,2,2,cohesion,Campbell's monkey (Cercopithecus campbelli);Meerkat (Suricata suricatta),simple harmonic contact call;close call
1,2,2,distress,Carolina chickadee (Poecile carolinensis);Common raven (Corvus corax),Squeal;Growl-like
1,2,2,distress,Chimpanzee (Pan troglodytes);Gelada (Theropithecus gelada),scream;copulation call
1,2,2,distress,Chimpanzee (Pan troglodytes);Common marmoset (Callithrix jacchus),scream;tsik
1,2,2,cohesion,Common bottlenose dolphin (Tursiops truncatus);Spotted hyena (Crocuta crocuta),signature whistle;whoop
1,2,2,social,Common bottlenose dolphin (Tursiops truncatus);Common marmoset (Callithrix jacchus),burst-pulsed sound;tsik
1,2,2,foraging,Common bottlenose dolphin (Tursiops truncatus);Lion (Panthera leo),bang;woof
1,2,2,foraging,Common bottlenose dolphin (Tursiops truncatus);Egyptian fruit bat (Rousettus aegyptiacus),echolocation click train;echolocation click
1,2,2,distress,Egyptian fruit bat (Rousettus aegyptiacus);Greater spear-nosed bat (Phyllostomus hastatus),isolation call;infant isolation call
1,2,2,distress,Egyptian fruit bat (Rousettus aegyptiacus);Weddell seal (Leptonychotes weddellii),isolation call;pup primary call
1,2,2,other,Egyptian fruit bat (Rousettus aegyptiacus);Greater spear-nosed bat (Phyllostomus hastatus),echolocation click;echolocation call
1,2,2,cohesion,Greater sac-winged bat (Saccopteryx bilineata);Greater spear-nosed bat (Phyllostomus hastatus),maternal directive call;infant isolation call
1,2,2,cohesion,Greater sac-winged bat (Saccopteryx bilineata);Weddell seal (Leptonychotes weddellii),maternal directive call;pup contact call
1,2,2,foraging,Greater sac-winged bat (Saccopteryx bilineata);Greater spear-nosed bat (Phyllostomus hastatus),echolocation call;echolocation call
1,2,2,danger,Japanese tit (Parus minor);Red junglefowl (Gallus gallus),jar call;ground-predator cackling alarm
1,2,2,danger,Putty-nosed monkey (Cercopithecus nictitans);Yellow-bellied marmot (Marmota flaviventris),chirp;whistle
1,2,2,cohesion,Weddell seal (Leptonychotes weddellii);Yellow-bellied marmot (Marmota flaviventris),pup primary call;pup scream
1,1,2,cohesion,African savanna elephant (Loxodonta africana);Asian elephant (Elephas maximus),rumble;rumble
1,1,2,foraging,Bonobo (Pan paniscus);Chimpanzee (Pan troglodytes),grunt;grunt
1,1,2,danger,Campbell's monkey (Cercopithecus campbelli);Vervet monkey (Chlorocebus pygerythrus),krak;chirp
1,1,2,danger,Olive baboon (Papio anubis);Rhesus macaque (Macaca mulatta),cough-bark;bark
1,1,2,danger,Rhesus macaque (Macaca mulatta);Vervet monkey (Chlorocebus pygerythrus),bark;bark
